date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:44	105/105	---M--	200	added ('OK')	text/plain	date:Sat,%2016%20Nov%202024%2012:51:43%20GMT	https://cyborgonics.b12sites.com/robots.txt		(from )
18:21:45	350598/350598	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2012:51:44%20GMT	https://cyborgonics.b12sites.com/	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/index.html	(from )
18:21:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:45%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-300.1.delayed	(from https://cyborgonics.b12sites.com/)
18:21:47	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/ak/code.jquery.com/jquery-3.3.1.min.js	(from https://cyborgonics.b12sites.com/)
18:21:48	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:47%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:48	22612/22612	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:47%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:49	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:48%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:49	22040/22040	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:48%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:50	8120/8120	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:49%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:50%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-latin-ext-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-latin-ext-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:52	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:51%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-latin-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-latin-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:52	25908/25908	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:51%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-latin-ext-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-latin-ext-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:53	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:52%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-400.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-400.woff2	(from https://cyborgonics.b12sites.com/)
18:21:53	43224/43224	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:52%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-latin-normal-300.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-latin-normal-300.woff2	(from https://cyborgonics.b12sites.com/)
18:21:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:54%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-400.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-400.woff2	(from https://cyborgonics.b12sites.com/)
18:21:55	22612/22612	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:53%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-400.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-ext-normal-400.woff2	(from https://cyborgonics.b12sites.com/)
18:21:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2016%20Nov%202024%2012:51:55%20GMT	http://cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-400.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-400.woff2	(from https://cyborgonics.b12sites.com/)
18:21:56	22040/22040	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:55%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-400.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-cyrillic-normal-400.woff2	(from https://cyborgonics.b12sites.com/)
18:21:57	8120/8120	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Nov%202024%2012:51:56%20GMT	https://cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-400.woff2	C:/My%20Web%20Sites/ak/cyborgonics.b12sites.com/assets/fonts/raleway-vietnamese-normal-400.woff2	(from https://cyborgonics.b12sites.com/)
